bpm,source,timestamp
56,rest,2023-10-11T10:37:02+00:00
57,rest,2023-10-11T10:42:02+00:00
56,rest,2023-10-11T10:47:02+00:00
60,rest,2023-10-11T10:52:02+00:00
56,rest,2023-10-11T10:57:02+00:00
57,rest,2023-10-11T11:11:01+00:00
58,awake,2023-10-11T11:33:18+00:00
77,awake,2023-10-11T11:34:09+00:00
69,awake,2023-10-11T11:34:27+00:00
74,awake,2023-10-11T11:43:58+00:00
64,awake,2023-10-11T11:44:03+00:00
58,awake,2023-10-11T11:44:37+00:00
68,awake,2023-10-11T11:53:16+00:00
61,awake,2023-10-11T11:53:45+00:00
59,awake,2023-10-11T11:54:08+00:00
65,awake,2023-10-11T12:03:57+00:00
59,awake,2023-10-11T12:04:08+00:00
60,awake,2023-10-11T12:04:16+00:00
59,awake,2023-10-11T12:13:20+00:00
66,awake,2023-10-11T12:14:26+00:00
56,awake,2023-10-11T12:14:34+00:00
58,awake,2023-10-11T12:23:17+00:00
60,awake,2023-10-11T12:24:03+00:00
66,awake,2023-10-11T12:24:49+00:00
61,awake,2023-10-11T12:31:07+00:00
69,awake,2023-10-11T12:31:20+00:00
65,awake,2023-10-11T12:31:39+00:00
77,awake,2023-10-11T12:36:50+00:00
67,awake,2023-10-11T12:37:20+00:00
73,awake,2023-10-11T12:37:26+00:00
66,awake,2023-10-11T12:51:02+00:00
70,awake,2023-10-11T12:51:24+00:00
59,awake,2023-10-11T12:51:29+00:00
69,awake,2023-10-11T12:55:21+00:00
58,awake,2023-10-11T12:55:56+00:00
63,awake,2023-10-11T12:56:37+00:00
84,awake,2023-10-11T13:01:51+00:00
96,awake,2023-10-11T13:01:54+00:00
90,awake,2023-10-11T13:02:47+00:00
82,awake,2023-10-11T13:11:39+00:00
100,awake,2023-10-11T13:11:51+00:00
111,awake,2023-10-11T13:12:36+00:00
105,awake,2023-10-11T13:27:03+00:00
110,awake,2023-10-11T13:27:04+00:00
108,awake,2023-10-11T13:27:05+00:00
130,awake,2023-10-11T13:46:23+00:00
124,awake,2023-10-11T13:46:39+00:00
118,awake,2023-10-11T13:46:40+00:00
93,awake,2023-10-11T13:55:47+00:00
88,awake,2023-10-11T13:55:59+00:00
85,awake,2023-10-11T13:56:14+00:00
80,awake,2023-10-11T14:02:32+00:00
84,awake,2023-10-11T14:03:44+00:00
88,awake,2023-10-11T14:03:58+00:00
83,awake,2023-10-11T14:08:34+00:00
80,awake,2023-10-11T14:09:01+00:00
77,awake,2023-10-11T14:09:14+00:00
85,awake,2023-10-11T14:13:11+00:00
81,awake,2023-10-11T14:13:12+00:00
77,awake,2023-10-11T14:14:05+00:00
77,awake,2023-10-11T14:23:12+00:00
81,awake,2023-10-11T14:23:35+00:00
73,awake,2023-10-11T14:23:38+00:00
83,awake,2023-10-11T14:33:30+00:00
80,awake,2023-10-11T14:33:33+00:00
78,awake,2023-10-11T14:33:36+00:00
80,awake,2023-10-11T14:43:26+00:00
79,awake,2023-10-11T14:43:27+00:00
